name,mascot,school_ncaa,conf_name,venue_state,color
Golden Hurricane,Hurricane,Tulsa,American Athletic,OK,#005496
Sun Devils,Devil,Arizona St.,Pacific 12,AZ,#8b2346
Dragons,Dragon,Drexel,Colonial,PA,#ecc217
Braves,Gargoyle,Bradley,Missouri Valley,IL,#fa143f
Golden Griffins,Griffin,Canisius,Metro Atlantic Athletic,NY,#eaac18
Wolverines,None,Michigan,Big Ten,MI,#003976
Flames,Dragon,Ill.-Chicago,Horizon,IL,#CC3333
Phoenix,Phoenix,Green Bay,Horizon,WI,#006a4d
Delta Devils,Devil,Mississippi Val.,Southwestern Athletic,MS,#004e25
Phoenix,Phoenix,Elon,Colonial,NC,#98002e
Demon Deacons,Demon,Wake Forest,Atlantic Coast,NC,#141414
Demons,Demon,Northwestern St.,Southland,LA,#54209e
Islanders,Tiki Totem,A&M-Corpus Christi,Southland,TX,#013197
Waves,Wave,Pepperdine,West Coast,CA,#e57728
Fighting Illini,None,Illinois,Big Ten,IL,#e0322a
Billikens,Billiken,Saint Louis,Atlantic 10,MO,#00529c
Hilltoppers,Furry Blob,Western Ky.,Conference USA,KY,#d41a00
Aggies,Dustdevil,Texas A&M,Southeastern,TX,#500000
Titans,Titan,Detroit Mercy,Horizon,MI,#003a8a
Jaspers,None,Manhattan,Metro Atlantic Athletic,NY,#00703c
Jayhawks,Jayhawk,Kansas,Big 12,KS,#006ab5
Chippewas,None,Central Mich.,Mid-American,MI,#630237
Blazers,Dragon,UAB,Conference USA,AL,#1E6B52
Tribe,Griffin,William & Mary,Colonial,VA,#115740
Blue Raiders,Winged Blue Horse,Middle Tenn.,Conference USA,TN,#0047aa
Blue Demons,Demon,DePaul,Big East,IL,#0059a9
Blue Devils,Devil,Central Conn. St.,Northeast,CT,#004385
Blue Devils,Devil,Duke,Atlantic Coast,NC,#00529b
Horned Frogs,Horned Frogs,TCU,Big 12,TX,#34297a
Anteaters,Anteater,UC Irvine,Big West,CA,#002a5c
Spiders,Spider,Richmond,Atlantic 10,VA,#000066
Cardinal,California Redwood,Stanford,Pacific 12,CA,#a80532
Rebels,Rebel,UNLV,Mountain West,NV,#cc092f
Spartans,Spartan,USC Upstate,Atlantic Sun,SC,#00682e
Governors,Governor,Austin Peay,Ohio Valley,TN,#C41E3A
Red Flash,Friar,Saint Francis (PA),Northeast,PA,#a31100
Highlanders,Scotsman,NJIT,Atlantic Sun,NJ,#163e68
Pioneers,Pioneers,Denver,Summit League,CO,#b6a880
Explorers,Explorers,La Salle,Atlantic 10,PA,#efc309
Dukes,Duke,Duquesne,Atlantic 10,PA,#000144
Cornhuskers,Cornhuskers,Nebraska,Big Ten,NE,#e51937
Highlanders,Human,Radford,Big South,VA,#e13a3e
Trojans,Trojans,Southern California,Pacific 12,CA,#990000
Vikings,Viking,Portland St.,Big Sky,OR,#004319
Gaels,Gael,Saint Mary's (CA),West Coast,CA,#06315b
Commodores,Commodores,Vanderbilt,Southeastern,TN,#141414
Mountaineers,Mountaineer,Appalachian St.,Sun Belt,NC,#d6ac00
Red Raiders,Raider and horse,Texas Tech,Big 12,TX,#CC0000
Vandals,Vandal,Idaho,Big Sky,ID,#b58e5b
Boilermakers,Human,Purdue,Big Ten,IN,#141414
Spartans,Spartan,Michigan St.,Big Ten,MI,#18453B
Trojans,Trojans,Troy,Sun Belt,AL,#872434
Gauchos,Gaucho,UC Santa Barbara,Big West,CA,#0039a6
Norse,Viking,Northern Ky.,Horizon,KY,#141414
49ers,49er,Long Beach St.,Big West,CA,#efc309
Colonials,Colonial,Robert Morris,Northeast,PA,#16234a
Spartans,Spartan,Norfolk St.,Mid Eastern Athletic,VA,#1d8e77
Mountaineers,Mountaineer,Mt. St. Mary's,Northeast,MD,#122d53
Quakers,Quaker,Penn,Ivy,PA,#ae223e
Cowboys,Cowboy,Wyoming,Mountain West,WY,#492f24
Privateers,Pirate,New Orleans,Southland,LA,#005ca6
Cowboys,Cowboys,McNeese,Southland,LA,#004988
Friars,Friar,Providence,Big East,RI,#141414
Pioneers,Pioneers,Sacred Heart,Northeast,CT,#d6243d
Crusaders,Crusader,Holy Cross,Patriot League,MA,#602d89
Sooners,Human,Oklahoma,Big 12,OK,#a80532
Spartans,Spartan,San Jose St.,Mountain West,CA,#5492cc
Toreros,Torero,San Diego,West Coast,CA,#004280
Aggies,Cowboy,New Mexico St.,Western Athletic,NM,#882345
Hatters,Human,Stetson,Atlantic Sun,FL,#005737
49ers,49er,Charlotte,Conference USA,NC,#00693e
Lumberjacks,Lumberjack,Northern Ariz.,Big Sky,AZ,#003b76
Pirates,Pirates,East Carolina,American Athletic,NC,#6944a0
Colonels,Colonel,Nicholls St.,Southland,LA,#afb7ba
Matadors,Matadors,CSUN,Big West,CA,#c70029
Seminoles,Human and horse,Florida St.,Atlantic Coast,FL,#540115
Vikings,Viking,Cleveland St.,Horizon,OH,#004f36
Lumberjacks,Lumberjack,SFA,Southland,TX,#330066
Pirates,Pirates,Seton Hall,Big East,NJ,#004488
Dons,Don,San Francisco,West Coast,CA,#254929
Pilots,Pilots,Portland,West Coast,OR,#351576
Musketeers,Musketeer,Xavier,Big East,OH,#002857
Crimson,Pilgrim,Harvard,Ivy,MA,#A41034
Mountaineers,Mountaineer,West Virginia,Big 12,WV,#00447c
Pirates,Pirates,Hampton,Mid Eastern Athletic,VA,#0061aa
Spartans,Spartan,UNCG,Southern,NC,#003c79
Warriors,Warrior,Hawaii,Big West,HI,#004631
Buccaneers,Pirate,ETSU,Southern,TN,#041E42
Colonials,Colonial,George Washington,Atlantic 10,DC,#002147
Gaels,Gael,Iona,Metro Atlantic Athletic,NY,#702e3d
Patriots,Patriot,George Mason,Atlantic 10,VA,#f2aa00
Aztecs,Aztec Warrior,San Diego St.,Mountain West,CA,#A81933
Big Green,Corsair,Dartmouth,Ivy,NH,#00723c
Cavaliers,Cavalier,Virginia,Atlantic Coast,VA,#002147
Rockets,Astronaut,Toledo,Mid-American,OH,#002663
Scarlet Knights,Knight,Rutgers,Big Ten,NJ,#d21034
Raiders,Raiders,Colgate,Patriot League,NY,#a50334
Fighting Irish,Leprechaun,Notre Dame,Atlantic Coast,IN,#002b5c
Blue Hose,Scotsman,Presbyterian,Big South,SC,#0035AD
Minutemen,Minuteman,Massachusetts,Atlantic 10,MA,#881c1c
Colonels,Colonel,Eastern Ky.,Ohio Valley,KY,#5E213B
Paladins,Knight,Furman,Southern,SC,#34327c
Crusaders,Crusader,Valparaiso,Missouri Valley,IN,#613318
Flyers,Pilot,Dayton,Atlantic 10,OH,#002453
Knights,Knight and Horse,UCF,American Athletic,FL,#bba378
Miners,Miners,UTEP,Conference USA,TX,#eb5a0d
Trojans,Trojans,Little Rock,Sun Belt,AR,#6e2639
Cowboys,Cowboy,Oklahoma St.,Big 12,OK,#FF6600
Aces,Riverboat Gambler,Evansville,Missouri Valley,IN,#532380
Buccaneers,Pirate,Charleston So.,Big South,SC,#11467b
Golden Gophers,Gopher,Minnesota,Big Ten,MN,#872434
Beavers,Beaver,Oregon St.,Pacific 12,OR,#e24912
Sycamores,Blue species-less genderless forest animal,Indiana St.,Missouri Valley,IN,#0046ad
Highlanders,Bear,UC Riverside,Big West,CA,#e0ae00
Lions,Lion,Southeastern La.,Southland,LA,#f3b800
Monarchs,Lion,Old Dominion,Conference USA,VA,#003564
Golden Lions,Lion,Ark.-Pine Bluff,Southwestern Athletic,AR,#f29103
Pride,Lion,Hofstra,Colonial,NY,#f6ba37
Lions,Lion,Loyola Marymount,West Coast,CA,#2e3d65
Nittany Lions,Lion,Penn St.,Big Ten,PA,#002147
Lions,Lion,Columbia,Ivy,NY,#015289
Ramblers,Wolf,Loyola Chicago,Missouri Valley,IL,#eb9f00
Lobos,Wolf,New Mexico,Mountain West,NM,#be0f34
Red Wolves,Wolf,Arkansas St.,Sun Belt,AR,#BE0F34
Raiders,Wolf,Wright St.,Horizon,OH,#efad00
Bonnies,Wolf,St. Bonaventure,Atlantic 10,NY,#7b2d19
Seawolves,Wolf,Stony Brook,America East,NY,#990000
Wolfpack,Wolf,NC State,Atlantic Coast,NC,#cc092f
Wolf Pack,Wolf,Nevada,Mountain West,NV,#003366
Tigers,Tigers,Princeton,Ivy,NJ,#e87132
Tigers,Tigers,Jackson St.,Southwestern Athletic,MS,#002654
Tigers,Tigers,Tennessee St.,Ohio Valley,TN,#003183
Tigers,Tigers,Missouri,Southeastern,MO,#F1B82D
Tigers,Tigers,Clemson,Atlantic Coast,SC,#F66733
Tigers,Tigers,Auburn,Southeastern,AL,#f58025
Tigers,Tigers,Texas Southern,Southwestern Athletic,TX,#70283e
Tigers,Tigers,Savannah St.,Mid Eastern Athletic,GA,#f65800
Tigers,Tigers,LSU,Southeastern,LA,#461d7c
Tigers,Tigers,Towson,Colonial,MD,#d7aa01
Tigers,Tigers,Memphis,American Athletic,TN,#002878
Tigers,Tigers,Pacific,West Coast,CA,#ff6900
Tigers,Tigers,Grambling,Southwestern Athletic,LA,#be9a02
Badgers,Badger,Wisconsin,Big Ten,WI,#be0f34
Bobcats,Bobcat,Montana St.,Big Sky,MT,#0077bc
Bobcats,Bobcat,Quinnipiac,Metro Atlantic Athletic,CT,#aa8406
Bobcats,Bobcat,Texas St.,Sun Belt,TX,#5a2c34
Bobcats,Bobcat,Ohio,Mid-American,OH,#336633
Cougars,Cougar,SIUE,Ohio Valley,IL,#f94227
